account_name,year,quarter,value,unit
파생상품거래손실,2020,Q2,1319012096,KRW
파생상품거래손실,2020,Q3,8098638464,KRW
파생상품거래손실,2020,Q4,8626435125,KRW
파생상품거래손실,2021,Q1,796005339,KRW
파생상품거래손실,2021,Q2,1005856832,KRW
파생상품거래손실,2021,Q3,1096652808,KRW
파생상품거래손실,2021,Q4,1105902919,KRW
파생상품거래손실,2022,Q1,2092135127,KRW
파생상품거래손실,2022,Q2,2728269361,KRW
파생상품거래손실,2022,Q3,3295422827,KRW
파생상품거래손실,2022,Q4,3817986416,KRW
파생상품거래손실,2023,Q1,661904338,KRW
파생상품거래손실,2023,Q2,1132111768,KRW
파생상품거래손실,2023,Q3,1654588749,KRW
파생상품거래손실,2023,Q4,2156788239,KRW
파생상품거래손실,2024,Q1,516697022,KRW
파생상품거래손실,2024,Q2,5575931124,KRW
파생상품거래손실,2024,Q3,6066940996,KRW
파생상품거래손실,2024,Q4,6563806718,KRW
파생상품거래손실,2025,Q1,744623362,KRW
파생상품거래손실,2025,Q2,908583734,KRW
파생상품거래손실,2025,Q3,908583734,KRW
파생상품거래이익,2020,Q1,573783702,KRW
파생상품거래이익,2020,Q2,1599836865,KRW
파생상품거래이익,2020,Q3,6828129848,KRW
파생상품거래이익,2020,Q4,6770262800,KRW
파생상품거래이익,2021,Q1,232258009,KRW
파생상품거래이익,2021,Q2,326081079,KRW
파생상품거래이익,2021,Q3,346368770,KRW
