재무계정,사업부,상세항목,기간,수치,단위
영업이익,도료,QoQ(%),2024-06-30,0.021,백만원
영업이익,도료,YoY(%),2024-06-30,0.039,백만원
영업이익,기타,영업이익,2024-06-30,-2,백만원
영업이익,기타,영업이익률(%),2024-06-30,-0.001,백만원
영업이익,기타,QoQ(%),2024-06-30,적자지속,백만원
영업이익,기타,YoY(%),2024-06-30,적자전환,백만원
당기순이익,전사(공통),당기순이익 (총계),2024-06-30,-30,백만원
당기순이익,전사(공통),당기순익률(%),2024-06-30,-0.002,백만원
당기순이익,전사(공통),QoQ(%),2024-06-30,적자전환,백만원
당기순이익,전사(공통),YoY(%),2024-06-30,적자전환,백만원
당기순이익,전사(공통),지배순이익,2024-06-30,-30,백만원
매출액,전사(공통),매출액 (총계),2024-09-30,1634,백만원
매출액,전사(공통),QoQ(%),2024-09-30,-0.008,백만원
매출액,전사(공통),YoY(%),2024-09-30,0.005,백만원
매출액,실리콘,실리콘,2024-09-30,726,백만원
매출액,건자재,건자재,2024-09-30,262,백만원
매출액,도료,도료,2024-09-30,496,백만원
매출액,기타,기타,2024-09-30,150,백만원
영업이익,전사(공통),영업이익 (총계),2024-09-30,125,백만원
영업이익,전사(공통),영업이익률(%),2024-09-30,0.008,백만원
영업이익,전사(공통),QoQ(%),2024-09-30,-0.011,백만원
영업이익,전사(공통),YoY(%),2024-09-30,0.042,백만원
영업이익,실리콘,영업이익,2024-09-30,26,백만원
영업이익,실리콘,영업이익률(%),2024-09-30,0.004,백만원
영업이익,실리콘,QoQ(%),2024-09-30,0.041,백만원
영업이익,실리콘,YoY(%),2024-09-30,흑자전환,백만원
영업이익,건자재,영업이익,2024-09-30,41,백만원
영업이익,건자재,영업이익률(%),2024-09-30,0.016,백만원
영업이익,건자재,QoQ(%),2024-09-30,-0.024,백만원
영업이익,건자재,YoY(%),2024-09-30,-0.03,백만원
영업이익,도료,영업이익,2024-09-30,57,백만원
영업이익,도료,영업이익률(%),2024-09-30,0.012,백만원
영업이익,도료,QoQ(%),2024-09-30,-0.014,백만원
영업이익,도료,YoY(%),2024-09-30,-0.006,백만원
영업이익,기타,영업이익,2024-09-30,-3,백만원
영업이익,기타,영업이익률(%),2024-09-30,-0.002,백만원
영업이익,기타,QoQ(%),2024-09-30,적자지속,백만원
영업이익,기타,YoY(%),2024-09-30,적자전환,백만원
당기순이익,전사(공통),당기순이익 (총계),2024-09-30,-51,백만원
당기순이익,전사(공통),당기순익률(%),2024-09-30,-0.003,백만원
당기순이익,전사(공통),QoQ(%),2024-09-30,적자지속,백만원
당기순이익,전사(공통),YoY(%),2024-09-30,적자전환,백만원
당기순이익,전사(공통),지배순이익,2024-09-30,-51,백만원
매출액,전사(공통),매출액 (총계),2024-12-31,1657,백만원
매출액,전사(공통),QoQ(%),2024-12-31,0.001,백만원
매출액,전사(공통),YoY(%),2024-12-31,0.005,백만원
매출액,실리콘,실리콘,2024-12-31,746,백만원
매출액,건자재,건자재,2024-12-31,277,백만원
매출액,도료,도료,2024-12-31,499,백만원
매출액,기타,기타,2024-12-31,136,백만원
영업이익,전사(공통),영업이익 (총계),2024-12-31,98,백만원
영업이익,전사(공통),영업이익률(%),2024-12-31,0.006,백만원
영업이익,전사(공통),QoQ(%),2024-12-31,-0.022,백만원
영업이익,전사(공통),YoY(%),2024-12-31,0.07,백만원
