데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,지배기업소유지분,5605469,백만원,2024Q1|재무상태표|지배기업소유지분|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 지배기업소유지분 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,지분법적용 투자지분,701428,백만원,2024Q1|재무상태표|지분법적용 투자지분|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 지분법적용 투자지분 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,투자부동산,711525,백만원,2024Q1|재무상태표|투자부동산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 투자부동산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,현금및현금성자산,1083648,백만원,2024Q1|재무상태표|현금및현금성자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 현금및현금성자산 | 백만원
감가상각비,2024-03-31,2024,Q1,2024 Q1,전사,,건자재,9989,백만원,2024Q1|감가상각비|건자재|백만원,2024 Q1 | 2024-03-31 | 감가상각비 | 건자재 | 백만원
감가상각비,2024-03-31,2024,Q1,2024 Q1,전사,,기타,24070,백만원,2024Q1|감가상각비|기타|백만원,2024 Q1 | 2024-03-31 | 감가상각비 | 기타 | 백만원
감가상각비,2024-03-31,2024,Q1,2024 Q1,전사,,도료,6445,백만원,2024Q1|감가상각비|도료|백만원,2024 Q1 | 2024-03-31 | 감가상각비 | 도료 | 백만원
감가상각비,2024-03-31,2024,Q1,2024 Q1,전사,,실리콘,64841,백만원,2024Q1|감가상각비|실리콘|백만원,2024 Q1 | 2024-03-31 | 감가상각비 | 실리콘 | 백만원
감가상각비,2024-03-31,2024,Q1,2024 Q1,전사,,합계,105345,백만원,2024Q1|감가상각비|합계|백만원,2024 Q1 | 2024-03-31 | 감가상각비 | 합계 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,건자재,매출액,매출액,264531,백만원,2024Q1|부문정보|건자재|매출액|매출액|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 건자재 | 매출액 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,QoQ(%),-15,%,2024Q1|부문정보|건자재|영업이익|QoQ(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 건자재 | 영업이익 | QoQ(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,YoY(%),27,%,2024Q1|부문정보|건자재|영업이익|YoY(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 건자재 | 영업이익 | YoY(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,영업이익,44442,백만원,2024Q1|부문정보|건자재|영업이익|영업이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 건자재 | 영업이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,영업이익률(%),17,%,2024Q1|부문정보|건자재|영업이익|영업이익률(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 건자재 | 영업이익 | 영업이익률(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,기타,매출액,매출액,166269,백만원,2024Q1|부문정보|기타|매출액|매출액|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 기타 | 매출액 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,기타,영업이익,영업이익,-987,백만원,2024Q1|부문정보|기타|영업이익|영업이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 기타 | 영업이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,기타,영업이익,영업이익률(%),-1,%,2024Q1|부문정보|기타|영업이익|영업이익률(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 기타 | 영업이익 | 영업이익률(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,도료,매출액,매출액,419051,백만원,2024Q1|부문정보|도료|매출액|매출액|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 도료 | 매출액 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,도료,영업이익,QoQ(%),17,%,2024Q1|부문정보|도료|영업이익|QoQ(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 도료 | 영업이익 | QoQ(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,도료,영업이익,YoY(%),161,%,2024Q1|부문정보|도료|영업이익|YoY(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 도료 | 영업이익 | YoY(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,도료,영업이익,영업이익,54620,백만원,2024Q1|부문정보|도료|영업이익|영업이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 도료 | 영업이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,도료,영업이익,영업이익률(%),13,%,2024Q1|부문정보|도료|영업이익|영업이익률(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 도료 | 영업이익 | 영업이익률(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,실리콘,매출액,매출액,738521,백만원,2024Q1|부문정보|실리콘|매출액|매출액|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 실리콘 | 매출액 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,실리콘,영업이익,YoY(%),-79,%,2024Q1|부문정보|실리콘|영업이익|YoY(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 실리콘 | 영업이익 | YoY(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,실리콘,영업이익,영업이익,2741,백만원,2024Q1|부문정보|실리콘|영업이익|영업이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 실리콘 | 영업이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,실리콘,영업이익,영업이익률(%),0,%,2024Q1|부문정보|실리콘|영업이익|영업이익률(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 실리콘 | 영업이익 | 영업이익률(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,연결조정,영업이익,영업이익,6090,백만원,2024Q1|부문정보|연결조정|영업이익|영업이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 연결조정 | 영업이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,전사(공통),당기순이익,QoQ(%),1459,%,2024Q1|부문정보|당기순이익|QoQ(%)|%,2024 Q1 | 2024-03-31 | 부문정보 | 당기순이익 | QoQ(%) | %
부문정보,2024-03-31,2024,Q1,2024 Q1,전사(공통),당기순이익,당기순이익,-44479,백만원,2024Q1|부문정보|당기순이익|당기순이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 당기순이익 | 백만원
부문정보,2024-03-31,2024,Q1,2024 Q1,전사(공통),당기순이익,당기순이익,458237,백만원,2024Q1|부문정보|당기순이익|당기순이익|백만원,2024 Q1 | 2024-03-31 | 부문정보 | 당기순이익 | 백만원
