data_type,account_name,date,year,quarter,value_raw
재무상태표,"검증1 (부채, 자본)",2023-09-30,2023,Q3,TRUE
재무상태표,검증2 (자산),2023-09-30,2023,Q3,TRUE
재무상태표,nan,2023-09-30,2023,Q3,
재무상태표,nan,2023-09-30,2023,Q3,
재무상태표,자산,2023-12-31,2023,Q4,
재무상태표,유동자산,2023-12-31,2023,Q4,"2,349,590,484,900"
재무상태표,현금및현금성자산,2023-12-31,2023,Q4,"724,453,170,740"
재무상태표,단기금융상품,2023-12-31,2023,Q4,"483,239,543,585"
재무상태표,매출채권,2023-12-31,2023,Q4,"554,698,572,981"
재무상태표,기타채권,2023-12-31,2023,Q4,"43,320,525,765"
재무상태표,매출채권 및 기타유동채권,2023-12-31,2023,Q4,
재무상태표,선급금,2023-12-31,2023,Q4,"6,777,412,037"
재무상태표,선급비용,2023-12-31,2023,Q4,"14,722,804,399"
재무상태표,기타유동금융자산,2023-12-31,2023,Q4,"9,768,359,072"
재무상태표,미수법인세환급액,2023-12-31,2023,Q4,
